"","X","Unnamed..0","BrefID","Year","BibLvlCode","StandardTitle","RefStrFull","AbstractEnglish","Refstringauthors","WoScode","FullAut","Affiliation","DOI","ownDOI","spcolNames","GeoTerms","TaxTerms","ThesTerms","OtherTerms","AuthorKeywords","DocType","LitStyles","ThesisDegree","wos_affil","wos_country","wos_keywords","wos_plus_keywords","wos_categories","wos_researcharea","stand_affil","similarity_method","stand_country","stand_flemish","stand_GROUP","stand_QH","result_status","result"
"134",0,0,296425,2018,"AM","JERICO-RI: Progress toward an automated detection of phytoplankton in Europe coastal areas","<b>Puillat, I.; Artigas, L.F.; Creach, V.; Debusschere, E.; Rijkeboer, M.; Marrec, P.; Thyssen, M.; Karlson, B.</b> (2018). JERICO-RI: Progress toward an automated detection of phytoplankton in Europe coastal areas, <b><i>in</i></b>: <i>4th Geo Blue Planet Symposium, July 4-6, 2018, Toulouse, France: Abstracts.</i> ","","Puillat, I.; Artigas, L.F.; Creach, V.; Debusschere, E.; Rijkeboer, M.; Marrec, P.; Thyssen, M.; Karlson, B.","","Debusschere, Elisabeth, E.","Flanders Marine Institute","","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"135",1,1,296442,2018,"AS","Marine biological value along the Portuguese continental shelf; insights into current conservation and management tools","<b>Gomes, I.; PÃ©rez-Jorge, S.; Peteiro, L.; Andrade, J.; Bueno-Pardo, J.; Quintino, V.; Rodrigues, A.M.; Azevedo, M.; Vanreusel, A.; Queiroga, H.; Deneudt, K.; Gomes, I.</b> (2018). Marine biological value along the Portuguese continental shelf; insights into current conservation and management tools. <i>Ecol. Indic. 93</i>: 533-546. <a href=""https://hdl.handle.net/10.1016/j.ecolind.2018.05.040"" target=""_blank"">https://hdl.handle.net/10.1016/j.ecolind.2018.05.040</a>","The valuation of nature is an inbuilt component of validating environmental management decisions and an important research field for different disciplines related to conservation, economy and ethics. Here, biodiversity was valued using an ecological approach based on the intrinsic value incorporated in biodiversity per se, regardless of any human association. The Marine Biological Valuation protocol was drawn upon the methodology of terrestrial valuation maps, to support the European MSFD environmental status assessment (descriptor 1 â€“ biodiversity) and national marine spatial planning approaches. To apply the protocol on the Portuguese continental shelf we compiled and analyzed national biological databases for a wide taxonomic range of ecosystem components (seabirds, demersal fish, macrobenthos, marine mammals and sea turtles) and assessed the spatial overlap with existing and proposed conservation areas (Natura 2000 network). The resultant maps described patterns of biological value consistent with the physical and biological oceanographic conditions as well as local hydrodynamics of the Portuguese continental shelf. The results of our approach confirm previously identified valuable areas for protection (particularly in the northern and central regions), but also highlights the value of currently unprotected sites, mainly in the southern region. Biological valuation maps showed to be comprehensive tool to compile and spatially analyze biological datasets. By drawing attention to subzones of biological importance, it constitutes a valuable instrument in making appropriate-scale decisions on the spatial allocation of human activities in the context of the Portuguese marine spatial planning, currently facing the pressure and impacts of increased maritime exploitation.","Gomes, I.; PÃ©rez-Jorge, S.; Peteiro, L.; Andrade, J.; Bueno-Pardo, J.; Quintino, V.; Rodrigues, A.M.; Azevedo, M.; Vanreusel, A.; Queiroga, H.; Deneudt, K.; Gomes, I.","WOS:000452692600054","PÃ©rez-Jorge, Sergi, S.","","https://hdl.handle.net/10.1016/j.ecolind.2018.05.040","","Lifewatch acknowledged, ""LifeWatch Observatory"", ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","Assessment tool; Intrinsic value; Biodiversity; Ecolical criteria; Conservation; Marine spatial planning ","Journal article","","","Univ Aveiro, CESAM, Campus Univ Santiago, P-3810193 Aveiro, Portugal.","Portugal","Assessment tool; Intrinsic value; Biodiversity; Ecological criteria; Conservation; Marine spatial planning","ECONOMIC VALUATION; ECOSYSTEM SERVICES; ECOLOGICAL CRITERIA; PROTECTED AREAS; BIODIVERSITY; RESERVES; IMPACTS; CONTEXT; SPACE; BAY","Biodiversity Conservation; Environmental Sciences","Biodiversity & Conservation; Environmental Sciences & Ecology","University of Aveiro - Department of Biology","x","Portugal","","University","Science","OK","{'SDG_3': 5.0, 'SDG_2': 4.0, 'SDG_11': 4.0}"
"136",26,26,296673,2016,"AM","EMODnet Biology: allowing easy coupling and visualisation of indicator species and their documented distribution","<b>Vandepitte, L.; Dekeyzer, S.; Claus, S.; Decock, W.; Vranken, S.; Vanhoorne, B.; Hernandez, F.</b> (2016). EMODnet Biology: allowing easy coupling and visualisation of indicator species and their documented distribution, <b><i>in</i></b>: <i>51st European Marine Biology Symposium, Rhodes, 26-30 September 2016: Oral Presentations.</i> pp. 28","","Vandepitte, L.; Dekeyzer, S.; Claus, S.; Decock, W.; Vranken, S.; Vanhoorne, B.; Hernandez, F.","","Vranken, Sofie, S.","Flanders Marine Institute (VLIZ)","","","Lifewatch acknowledged","","","","","","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{'SDG_15': 1.0}"
"137",36,36,298173,2018,"AS","Marine phytoplankton community composition data from the Belgian part of the North Sea, 1968-2010","<b>Nohe, A.; Knockaert, C.; Goffin, A.; Dewitte, E.; De Cauwer, K.; Desmit, X.; Vyverman, W.; Tyberghein, L.; Lagring, R.; Sabbe, K.</b> (2018). Marine phytoplankton community composition data from the Belgian part of the North Sea, 1968-2010. <i>Scientific Data 5</i>: 180126. <a href=""https://hdl.handle.net/10.1038/sdata.2018.126"" target=""_blank"">https://hdl.handle.net/10.1038/sdata.2018.126</a>","The Belgian Phytoplankton Database (BPD) is a comprehensive data collection comprising quantitative phytoplankton cell counts from multiple research projects conducted since 1968. The collection is focused on the Belgian part of the North Sea, but also includes data from the French and the Dutch part of the North Sea. The database includes almost 300 unique sampling locations and more than 3,000 sampling events resulting in more than 86,000 phytoplankton cell count records. The dataset covers two periods: 1968 to 1978 and 1994 to 2010. The BPD can be accessed online and provides high quality phytoplankton count data. The species taxonomy is updated, and the count values are quality checked and standardized. Important metadata like sampling date, sampling location, sampling depth and methodology is provided and standardized. Additionally, associated abiotic data and biovolume values are available. The dataset allows to conduct analyses of long-term temporal and spatial trends in phytoplankton community structure in the southern part of the North Sea, including changes in phytoplankton phenology and seasonality.","Nohe, A.; Knockaert, C.; Goffin, A.; Dewitte, E.; De Cauwer, K.; Desmit, X.; Vyverman, W.; Tyberghein, L.; Lagring, R.; Sabbe, K.","WOS:000437104200001","Desmit, Xavier, X.","Belgian Marine Data Centre (BMDC), Operational Directorate Natural Environment, Royal Belgian Institute of Natural Sciences","https://hdl.handle.net/10.1038/sdata.2018.126","","Lifewatch acknowledged, ""LifeWatch Marine Data Archeology"", ""LifeWatch Observatory""","","","","","Design Type(s): data integration objective, source-based data transformation objective, time series design <br> Measurement Type(s): planktonic material, environmental material <br> Technology Type(s): digital curation <br> Factor Type(s): temporal_interval, Data Source, geographic location <br> Sample Characteristic(s): phytoplankton environmental sample, North Sea coastal waters of Belgium ","Data paper","","","Flanders Marine Inst, Wandelaarkaai 7, B-8400 Oostende, Belgium.","Belgium","","WESTERN ENGLISH-CHANNEL; SOUTHERN BIGHT; HELGOLAND; DYNAMICS; NUTRIENTS; SYSTEMS","Multidisciplinary Sciences","Science & Technology - Other Topics","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Belgian Marine Data Centre (BMDC)","","Belgium","","Research institute","Science","OK","{'SDG_14': 4.0, 'SDG_15': 2.0, 'SDG_7': 1.0}"
"138",43,43,299421,2018,"AMS","What moves European sea bass?","<b>Goossens, J.; Reubens, J.; Moens, T.</b> (2018). What moves European sea bass?, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ 53<sup>rd</sup> European Marine Biology Symposium. Oostende, Belgium, 17-21 September 2018. VLIZ Special Publication,</i> 82: pp. 79","","Goossens, J.; Reubens, J.; Moens, T.","","Goossens, Jolien, J.","Flanders Marine Institute (VLIZ)","","","Lifewatch acknowledged, ""LifeWatch Observatory""","","Dicentrarchus labrax","","","European sea bass, telemetry, LifeWatch, movement behaviour, spatial ecology","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"139",44,44,299455,2018,"AMS","Time investment and territorial behaviour of lesser black-backed gulls (<i>Larus fuscus</i>) during the pre-laying period","<b>Salas, R.; Deneudt, K.; Lens, L.; Stienen, E.W.M.; Baert, J.; Kavelaars, M.M.; Shamoun-Baranes, J.; MÃ¼ller, W.</b> (2018). Time investment and territorial behaviour of lesser black-backed gulls (<i>Larus fuscus</i>) during the pre-laying period, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ 53<sup>rd</sup> European Marine Biology Symposium. Oostende, Belgium, 17-21 September 2018. VLIZ Special Publication,</i> 82: pp. 88","","Salas, R.; Deneudt, K.; Lens, L.; Stienen, E.W.M.; Baert, J.; Kavelaars, M.M.; Shamoun-Baranes, J.; MÃ¼ller, W.","","Stienen, Eric, E.W.M.","Research Institute for Nature and Forest (INBO)","","","Lifewatch acknowledged, ""LifeWatch Observatory""","","Larus fuscus Linnaeus, 1758","","","Satellite-tracking; movement ecology; territorial behaviour; time-budgets; pre-laying period; lesser black-backed gulls","Book chapters","Summary","","","","","","","","INBO Research Institute for Nature and Forest","","Belgium","x","Research institute","Science","OK","{}"
"140",45,45,299466,2018,"AMS","LifeWatch marine data services supporting marine biodiversity and ecosystem research","<b>Deneudt, K.; Dekeyzer, S.; Goossens, J.; Claus, S.; Vandepitte, L.; Hernandez, F.</b> (2018). LifeWatch marine data services supporting marine biodiversity and ecosystem research, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ 53<sup>rd</sup> European Marine Biology Symposium. Oostende, Belgium, 17-21 September 2018. VLIZ Special Publication,</i> 82: pp. 77","","Deneudt, K.; Dekeyzer, S.; Goossens, J.; Claus, S.; Vandepitte, L.; Hernandez, F.","","Goossens, Jolien, J.","Flanders Marine Institute (VLIZ)","","","European Oceanographic Biogeographic Information System (EurOBIS) acknowledged, ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","#NAME?","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{'SDG_14': 1.0}"
"141",46,46,299491,2018,"AMS","BeRMS 2020 â€“ Innovative census of Belgian marine biodiversity","<b>Vandegehuchte, M.; Vandepitte, L.; HablÃ¼tzel, P.I.; De Rijcke, M.; Seys, J.; Dekeyzer, S.; Mortelmans, J.; Everaert, G.; Deneudt, K.; Hernandez, F.; Mees, J.</b> (2018). BeRMS 2020 â€“ Innovative census of Belgian marine biodiversity, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ 53<sup>rd</sup> European Marine Biology Symposium. Oostende, Belgium, 17-21 September 2018. VLIZ Special Publication,</i> 82: pp. 63","","Vandegehuchte, M.; Vandepitte, L.; HablÃ¼tzel, P.I.; De Rijcke, M.; Seys, J.; Dekeyzer, S.; Mortelmans, J.; Everaert, G.; Deneudt, K.; Hernandez, F.; Mees, J.","","Dekeyzer, Stefanie, S.","Flanders Marine Institute (VLIZ)","","","EUROBIS ackn - direct reference, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""LifeWatch Species Information Backbone""","","","","","Biodiversity; species identification; species observations","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"142",47,47,299502,2018,"AMS","Research Infrastructures offer capacity to address scientific questions never attempted before: Are all taxa equal?","<b>Arvanitidis, C.; Warwick, R.M.; Somerfield, P.J.; Pavloudi, C.; Pafilis, E.; Oulas, A.; Chatzigeorgiou, G.; Gerovasileiou, V.; Patkos, T.; Bailly, N.; Hernandez, F.; Vanhoorne, B.; Vandepitte, L.; Appeltans, W.; Keklikoglou, K.; Chatzinikolaou, E.; Michalakis, N.; Filiopoulou, I.; Panteri, E.; Gougousis, A.</b> (2018). Research Infrastructures offer capacity to address scientific questions never attempted before: Are all taxa equal?, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ 53<sup>rd</sup> European Marine Biology Symposium. Oostende, Belgium, 17-21 September 2018. VLIZ Special Publication,</i> 82: pp. 71","","Arvanitidis, C.; Warwick, R.M.; Somerfield, P.J.; Pavloudi, C.; Pafilis, E.; Oulas, A.; Chatzigeorgiou, G.; Gerovasileiou, V.; Patkos, T.; Bailly, N.; Hernandez, F.; Vanhoorne, B.; Vandepitte, L.; Appeltans, W.; Keklikoglou, K.; Chatzinikolaou, E.; Michalakis, N.; Filiopoulou, I.; Panteri, E.; Gougousis, A.","","Arvanitidis, Christos, C.","Institute of Marine Biology, Biotechnology and Aquaculture (IMBBC), Hellenic Centre for Marine Research (HCMR)","","","Lifewatch acknowledged, ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","LifeWatchGreece, taxa equality, Taxonomic Distinctness, WoRMS","Book chapters","Summary","","","","","","","","Hellenic Centre for Marine Research (HCMR)","","","","","","OK","{}"
"143",48,48,299521,2018,"AMS","Monitoring phytoplankton dynamics in the Belgian continental zone using a Cytosense flowcytometer","<b>De Blok, R.; Debusschere, E.; Tyberghein, L.; Mortelmans, J.; Hernandez, F.; Deneudt, K.; Sabbe, K.; Vyverman, W.</b> (2018). Monitoring phytoplankton dynamics in the Belgian continental zone using a Cytosense flowcytometer, <b><i>in</i></b>: Mees, J. <i>et al.</i> <i>Book of abstracts â€“ 53<sup>rd</sup> European Marine Biology Symposium. Oostende, Belgium, 17-21 September 2018. VLIZ Special Publication,</i> 82: pp. 38","","De Blok, R.; Debusschere, E.; Tyberghein, L.; Mortelmans, J.; Hernandez, F.; Deneudt, K.; Sabbe, K.; Vyverman, W.","","Tyberghein, Lennert, L.","Flanders Marine Institute (VLIZ)","","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","Cytosense; phytoplankton; time series; Bayesian network models; Belgian continental zone","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"144",50,50,299538,2018,"AMS","The European Ocean Biogeographic Information System (EurOBIS) and its relation with international data systems","<b>De Pooter, D.; Vandepitte, L.; Claus, S.; Lanssens, T.; Oset Garcia, P.; Vanhoorne, B.; Waumans, F.; Hernandez, F.</b> (2018). The European Ocean Biogeographic Information System (EurOBIS) and its relation with international data systems, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ 53<sup>rd</sup> European Marine Biology Symposium. Oostende, Belgium, 17-21 September 2018. VLIZ Special Publication,</i> 82: pp. 125","","De Pooter, D.; Vandepitte, L.; Claus, S.; Lanssens, T.; Oset Garcia, P.; Vanhoorne, B.; Waumans, F.; Hernandez, F.","","Lanssens, Thomas, T.","Flanders Marine Institute (VLIZ)","","","EUROBIS ackn - direct reference, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""LifeWatch Species Information Backbone"", ""Marine Regions acknowledged"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","Biogeography; LW-TaxBB; species distributions; environmental data","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{'SDG_14': 1.0}"
"145",51,51,299542,2018,"AMS","The World Register of Marine Species â€“ a decade of taxonomy and experience","<b>Vandepitte, L.; Vanhoorne, B.; Decock, W.; Lanssens, T.; Dekeyzer, S.; Verfaille, K.; Hernandez, F.</b> (2018). The World Register of Marine Species â€“ a decade of taxonomy and experience, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ 53<sup>rd</sup> European Marine Biology Symposium. Oostende, Belgium, 17-21 September 2018. VLIZ Special Publication,</i> 82: pp. 95","","Vandepitte, L.; Vanhoorne, B.; Decock, W.; Lanssens, T.; Dekeyzer, S.; Verfaille, K.; Hernandez, F.","","Dekeyzer, Stefanie, S.","Flanders Marine Institute (VLIZ)","","","European Oceanographic Biogeographic Information System (EurOBIS) acknowledged, ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","Taxonomy, World Register of Marine Species","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"146",198,198,300717,2018,"AMS","New data and species of <i>Thecomyia</i> Perty, 1833 (Diptera: Sciomyzidae) from Mitaraka (French Guiana), with notes on the genus","<b>Mortelmans, J.; Pollet, M.</b> (2018). New data and species of <i>Thecomyia</i> Perty, 1833 (Diptera: Sciomyzidae) from Mitaraka (French Guiana), with notes on the genus, <b><i>in</i></b>: Touroult, J. (Ed.) <i>Our Planet Reviewedâ€ 2015 large-scale biotic survey in Mitaraka, French Guiana. Zoosystema,</i> 40(2): pp. 415-423. <a href=""https://hdl.handle.net/10.5252/zoosystema2018v40a17"" target=""_blank"">https://hdl.handle.net/10.5252/zoosystema2018v40a17</a>","A new species of <i>Thecomyia</i> Perty, 1833, <i>T. diederiki</i> Mortelmans n. sp., is described from French Guiana, with diagnostic characters being the absence of anteromedial setae on the midfemur; an ill-defined, tripartite, greyish mesonotal stripe; absence of upper fronto-orbital bristles; completely yellow mid- and hind femora; typical distiphallus bearing two long, curved acrophalli; absence of male anterior gonostyli; and large, triangular posterior gonostyli. All specimens were collected during the Mitaraka (French Guiana) 2015 survey that investigated an array of habitat types; the new species was encountered only in swamp forests. This discovery raises the number of species in this exclusively Neotropical genus to 13. An update of the relevant couplets in the key to Thecomyia in Marinoni et al. (2003) is presented to include the new species. New records of other species of <i>Thecomyia</i> from Costa Rica, French Guiana, and Brazil are given, with first records of <i>Thecomyia</i> lateralis (Walker, 1858) from Costa Rica, and first records of <i>T. diederiki </i>Mortelmans n. sp. and <i>T. longicornis</i> Perty, 1833 from French Guiana.","Mortelmans, J.; Pollet, M.","WOS:000454155600005","Mortelmans, Jonas, J.","Entomology Unit, Royal Belgian Institute for Natural Sciences (RBINS)","https://hdl.handle.net/10.5252/zoosystema2018v40a17","","Lifewatch acknowledged, ""LifeWatch Observatory""","Costa Rica, ""French Guiana""","Sciomyzoidea","Geographical distribution, ""New species""","","Acalyptratae; neotropical; snail-killing flies; survey","Book chapters","","","Royal Belgian Inst Nat Sci, Entomol Unit, Vautierstr 29, B-1000 Brussels, Belgium.","Belgium","Acalyptratae; Sciomyzoidea; French Guiana; Costa Rica; geographical distribution; neotropical; snail-killing flies; survey; new species","","Zoology","Zoology","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Entomology Unit","","","","","","OK","{}"
"147",222,222,300813,2018,"AS","Selective tidal stream transport in silver European eel (<i>Anguilla anguilla</i> L.) â€“ Migration behaviour in a dynamic estuary","<b>Verhelst, P.; Bruneel, S.; Reubens, J.; Coeck, J.; Goethals, P.; Oldoni, D.; Moens, T.; Mouton, A.</b> (2018). Selective tidal stream transport in silver European eel (<i>Anguilla anguilla</i> L.) â€“ Migration behaviour in a dynamic estuary. <i>Est., Coast. and Shelf Sci. 213</i>: 260-268. <a href=""https://hdl.handle.net/10.1016/j.ecss.2018.08.025"" target=""_blank"">https://hdl.handle.net/10.1016/j.ecss.2018.08.025</a>","Different fish species use selective tidal stream transport (STST) to efficiently migrate through strong tidal systems to complete their life cycle, but the use of STST by silver European eels (<i>Anguilla anguilla</i> L.) is still controversial. In this study, we found strong evidence that silver European eels apply STST. The results illustrate that eels can distinguish between ebb and flood and suggest that tides play a role in orientation, either directly or indirectly. The general migration speed was higher in the downstream part of the estuary compared to the upstream part, while tidal migration speed was equal in both parts, indicating that eels migrated more consistently in the downstream part. The results of this study give insight in how a diadromous species migrates through an estuary and underline the importance of the tides.","Verhelst, P.; Bruneel, S.; Reubens, J.; Coeck, J.; Goethals, P.; Oldoni, D.; Moens, T.; Mouton, A.","WOS:000447544500024","Verhelst, Pieterjan, P.","Research Institute for Nature and Forest (INBO)","https://hdl.handle.net/10.1016/j.ecss.2018.08.025","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","Diadromous; Migration; Estuary; Selective tidal stream transport; Telemetry; Conservation","Journal article","","","Univ Ghent, Dept Biol, Marine Biol Res Grp, Krijgslaan 281, B-9000 Ghent, Belgium.","Belgium","Diadromous; Migration; Estuary; Selective tidal stream transport; Telemetry; Conservation","SALMON SALMO-SALAR; FRESH-WATER; AMERICAN EELS; DOWNSTREAM MIGRATION; GLASS-EELS; NORTH; MOVEMENTS; YELLOW; RIVER; PATTERNS","Marine & Freshwater Biology; Oceanography","Marine & Freshwater Biology; Oceanography","INBO Research Institute for Nature and Forest","","Belgium","x","Research institute","Science","OK","{'SDG_2': 1.0, 'SDG_14': 1.0}"
"148",285,285,301437,2018,"AS","A review of acoustic telemetry in Europe and the need for a regional aquatic telemetry network","<b>Abecasis, D.; Steckenreuter, A.; Reubens, J.; Aarestrup, K.; AlÃ³s, J.; Badalamenti, F.; Bajona, L.; Boylan, P.; Deneudt, K.; Greenberg, L.; BrevÃ©, N.; Hernandez, F.; Humphries, N.; Meyer, C.; Sims, D.W.; Thorstad, E.B.; Walker, A.M.; Whoriskey, F.; Afonso, P.</b> (2018). A review of acoustic telemetry in Europe and the need for a regional aquatic telemetry network. <i>Animal Biotelemetry 6(1)</i>: 1-7. <a href=""https://hdl.handle.net/10.1186/s40317-018-0156-0"" target=""_blank"">https://hdl.handle.net/10.1186/s40317-018-0156-0</a>","Background: Globally, there are a large and growing number of researchers using biotelemetry as a tool to study aquatic animals. In Europe, this community lacks a formal network structure. The aim of this study is to review the use of acoustic telemetry in Europe and document the contribution of cross-boundary studies and inter-research group collaborations. Based on this, we explore the potential benefits and challenges of a network approach to identify future priorities and best practices for aquatic biotelemetry research in Europe.Results: Over the past decade, there was an approximately sevenfold increase in the number of acoustic telemetry studies published on marine and diadromous species in Europe compared to a sixfold increase globally. Over 90% of these studies were conducted on fishes and undertaken in coastal areas, estuaries, or rivers. 75% of these studies were conducted by researchers based in one of five nations (Norway, UK, France, Portugal, and Spain) and, even though 34% were based on collaborations between scientists from several countries, there was only one study with an acoustic receiver array that extended beyond the borders of a single country. In recent years, acoustic telemetry in European waters has evolved from studying behavioural aspects of animals (82.2%), into more holistic approaches addressing management-related issues (10%), tagging methods and effects (5%), and technology and data analysis development (2.8%).Conclusions: Despite the increasing number of publications and species tracked, there is a prominent lack of planned and structured acoustic telemetry collaborations in Europe. A formal pan-European network structure would promote the development of (1) a research platform that could benefit the acoustic telemetry community through capacity building, (2) a centralized database, and (3) key deployment sites and studies on priority species requiring research in Europe. A network may increase efficiency, expand the scope of research that can be undertaken, promote European science integration, enhance the opportunities and success of acquiring research funding and, ultimately, foster regional and transatlantic collaborations. It may also help address research priorities such as the large-scale societal challenges arising from climate change impacts and assist the EUâ€™s Marine Strategy Framework Directive via identification of good environmental status of endangered or commercially important species.","Abecasis, D.; Steckenreuter, A.; Reubens, J.; Aarestrup, K.; AlÃ³s, J.; Badalamenti, F.; Bajona, L.; Boylan, P.; Deneudt, K.; Greenberg, L.; BrevÃ©, N.; Hernandez, F.; Humphries, N.; Meyer, C.; Sims, D.W.; Thorstad, E.B.; Walker, A.M.; Whoriskey, F.; Afonso, P.","","Steckenreuter, Andre, A.","","https://hdl.handle.net/10.1186/s40317-018-0156-0","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","European tracking network; Acoustic telemetry; Flagship species; Acoustic arrays; Animal movement; Spatio-temporal movement; Biotelemetry","Journal article","","","","","","","","","","","","","","","OK","{'SDG_9': 1.0, 'SDG_11': 1.0}"
"149",309,309,301608,2018,"AS","10 years of the World Register of Marine Species (WoRMS): where do we stand & where are we heading?","<b>Vandepitte, L.; Vanhoorne, B.; Decock, W.; Lanssens, T.; Dekeyzer, S.; Verfaille, K.; Horton, T.; Kroh, A.</b> (2018). 10 years of the World Register of Marine Species (WoRMS): where do we stand & where are we heading? <i>PeerJ Preprints 6</i>: e26682v1. <a href=""https://hdl.handle.net/10.7287/peerj.preprints.26682v1"" target=""_blank"">https://hdl.handle.net/10.7287/peerj.preprints.26682v1</a>","","Vandepitte, L.; Vanhoorne, B.; Decock, W.; Lanssens, T.; Dekeyzer, S.; Verfaille, K.; Horton, T.; Kroh, A.","","Lanssens, Thomas, T.","Flanders Marine Institute","https://hdl.handle.net/10.7287/peerj.preprints.26682v1","","LifeWatch Species Information Backbone","","","","","database, taxonomy, marine biodiversity, LifeWatch","Journal article","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"150",311,311,301612,2019,"AS","Revealing patterns of nocturnal migration using the European weather radar network","<b>Nilsson, C.; Dokter, A.M.; Verlinden, L.; Shamoun-Baranes, J.; Schmid, B.; Desmet, P.; Bauer, S.; Chapman, J.; Alves, J.A.; Stepanian, P.M.; Sapir, N.; Wainwright, C.; Boos, M.; GÃ³rska, A.; Menz, M.H.M.; Rodrigues, P.; Leijnse, H.; Zehtindjiev, P.; Brabant, R.; Haase, G.; Weisshaupt, N.; Ciach, M.; Liechti, F.</b> (2019). Revealing patterns of nocturnal migration using the European weather radar network. <i>Ecography 42(5)</i>: 876-886. <a href=""https://hdl.handle.net/10.1111/ecog.04003"" target=""_blank"">https://hdl.handle.net/10.1111/ecog.04003</a>","Nocturnal avian migration flyways remain an elusive concept, as we have largely lacked methods to map their full extent. We used the network of European weather radars to investigate nocturnal bird movements at the scale of the European flyway. We mapped the main migration directions and showed the intensity of movement across part of Europe by extracting biological information from 70 weather radar stations from northern Scandinavia to Portugal, during the autumn migration season of 2016. On average, over the 20 nights and all sites, 389 birds passed per 1 km transect per hour. The night with highest migration intensity showed an average of 1 621 birds per km per hour passing the radar stations, but there was considerable geographical and temporal variation in migration intensity. The highest intensity of migration was seen in central France. The overall migration directions showed strong southwest components. Migration dynamics were strongly related to synoptic wind conditions. A windâ€related mass migration event occurred immediately after a change in wind conditions, but quickly diminished even when supporting winds continued to prevail. This first continentalâ€scale study using the European network of weather radars demonstrates the wealth of information available and its potential for investigating largeâ€scale bird movements, with consequences for ecosystem function, nutrient transfer, human and livestock health, and civil and military aviation.","Nilsson, C.; Dokter, A.M.; Verlinden, L.; Shamoun-Baranes, J.; Schmid, B.; Desmet, P.; Bauer, S.; Chapman, J.; Alves, J.A.; Stepanian, P.M.; Sapir, N.; Wainwright, C.; Boos, M.; GÃ³rska, A.; Menz, M.H.M.; Rodrigues, P.; Leijnse, H.; Zehtindjiev, P.; Brabant, R.; Haase, G.; Weisshaupt, N.; Ciach, M.; Liechti, F.","WOS:000466819000004","Nilsson, Cecilia, C.","","https://hdl.handle.net/10.1111/ecog.04003","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","","Journal article","","","Cornell Univ, Cornell Lab Ornithol, Ithaca, NY 14853 USA.","USA","avian migration; weather radar; migration flyways","BIRD MIGRATION; ANNUAL CYCLE; HABITAT USE; WIND; DETOURS; SYSTEMS; AUTUMN; SEA","Biodiversity Conservation; Ecology","Biodiversity & Conservation; Environmental Sciences & Ecology","Cornell University","x","USA","","University","Science","OK","{'SDG_9': 3.0, 'SDG_3': 2.0, 'SDG_6': 1.0}"
