Usage_type,Since,Application,Institute,Country,,
Received access to download a monthly copy of WoRMS,2019-02-21,WoRMS data will be used as taxonomic backbone in a research project on Octocorallia diversity in the shallow-water vs. deep-sea.,University of Louisiana at Lafayette,United States,,
Received access to download a monthly copy of WoRMS,2019-02-21,WoRMS data will be used as taxonomic backbone in a research project on prediction of the stability of protein structures under increased pressure.,University Hamburg; Zentrum für Bioinformatik,Germany,,
Received access to download a monthly copy of WoRMS,2019-11-18,WoRMS data will be used as taxonomic backbone in a study assessing shifts in marine species attributable to climate change.,Dalhousie University,Canada,,
Received access to download a monthly copy of WoRMS,2018-03-04,WoRMS data will be used as taxonomic backbone in an application for the visual identification of plankton that is currently developed,"Sorbonne Université/CNRS, Laboratoire d'Océanographie de Villefranche",France,,
Received access to download a monthly copy of WoRMS,2019-03-04,WoRMS data will be used as taxonomic backbone in the internal benthos database of Thomson Environmental Consultants.,Thomson Environmental Consultants,United Kingdom,,
Received access to download a monthly copy of WoRMS,2019-02-21,WoRMS data will be used as taxonomic backbone in the internal Seafood database of the Monterey Bay Aquarium,Monterey Bay Aquarium,USA,,
Received access to download a monthly copy of WoRMS,2021-10-27,WoRMS data will be used by the Marine Products Exports Authority of India to update nomenclature of seafood exports ,MPEDA ,India,,
Received access to download a monthly copy of WoRMS,2018-11-16,WoRMS data will be used for as taxonomic backbone for an identification guide to the families and genera of all Decapoda.,Museums Victoria,Australia,,
Received access to download a monthly copy of WoRMS,2018-10-19,WoRMS data will be used for as taxonomic backbone for a database on species obervations during research cruises by Oceana Europe. ,Oceana Europe,Belgium,,
Received access to download a monthly copy of WoRMS,2020-04-27,WoRMS data will be used for as taxonomic backbone for curation of mitochondrial sequence databases for mitochondrial metagenomic applications at the Hubbard Center for Genome Studies (University of New Hampshire),University of New Hampshire,United States,,
Received access to download a monthly copy of WoRMS,2018-10-19,WoRMS data will be used for as taxonomic backbone for the in-house benthic data management system of Fugro GB Marine Ltd.,Fugro GB Marine Ltd,United Kingdom,,
Received access to download a monthly copy of WoRMS,2018-11-02,WoRMS data will be used for as taxonomic backbone for the in-house genomic data management system of the Hubbard Center for Genome Studies (University of New Hampshire),University of New Hampshire,USA,,
Received access to download a monthly copy of WoRMS,2018-11-06,WoRMS data will be used for as taxonomic backbone for the in-house genomic data management system of the Hubbard Center for Genome Studies (University of New Hampshire),University of New Hampshire,USA,,
Received access to download a monthly copy of WoRMS,2019-03-08,WoRMS data will be used for assigning environmental flags in a economic footprint analysis.,University of Helsinki,Finland,,
Received access to download a monthly copy of WoRMS,2020-01-21,WoRMS data will be used for enrichment and QC of the fisheries research surveys database of Fisheries and Oceans Canada,"Fisheries and Oceans Canada, Pacific Biological Station",Canada,,
Received access to download a monthly copy of WoRMS,2018-10-18,WoRMS data will be used for enrichment and QC of the fisheries research surveys database of Fisheries and Oceans Canada.,Department of Fisheries and Oceans,Canada,,
Received access to download a monthly copy of WoRMS,2020-04-04,WoRMS data will be used for internal QC by NCBI's GenBank,"National Institutes of Health, National Center for Biotechnology Information",United States,,
Received access to download a monthly copy of WoRMS,2018-03-20,WoRMS data will be used for literature data mining in a study on biomineralization in marine metazoans,University of Plymouth,UK,,
Received access to download a monthly copy of WoRMS,2021-03-05,WoRMS data will be used for mining of taxonomic name occurrences in texts in a project by the National Research Council of Italy,National Research Council of Italy,Italy,,
Received access to download a monthly copy of WoRMS,2020-10-23,WoRMS data will be used for QC in a DNA barcoding project on Hawaiian marine species,Hawaii Institute of Marine Biology,Hawaii; U.S.A.,,
Received access to download a monthly copy of WoRMS,2020-11-11,WoRMS data will be used for QC in the internal databases of the Galway Marine Institute,Galway Marine Institute - Foras na Mara,Ireland,,
Received access to download a monthly copy of WoRMS,2020-01-20,WoRMS data will be used for QC of faunal lists and assigning higher ranks in a research project at Yale University,Yale University,United States,,
Received access to download a monthly copy of WoRMS,2018-03-09,WoRMS data will be used for QC of marine Irish species in a national project on Marine Biodiscovery,National University of Ireland Galway,Ireland,,
Received access to download a monthly copy of WoRMS,2018-12-04,WoRMS data will be used for quality control and as taxonomic backbone for the collection database of the Museu de Ciències Naturals de Barcelona,"Museu de Ciències Naturals de Barcelona, Department of Palaeontology",Spain,,
Received access to download a monthly copy of WoRMS,2019-12-10,WoRMS data will be used for quality control and updating of marine faunal lists of China and West Pacific,Third Institute of Oceanography,China,,
Received access to download a monthly copy of WoRMS,2018-08-04,WoRMS data will be used for quality control of an internal database.,Beijing Genomics Institute (BGI),China,,
Received access to download a monthly copy of WoRMS,2019-04-17,WoRMS data will be used for quality control of Catalogue of Life data and vice versa.,None,Finland,,
Received access to download a monthly copy of WoRMS,2018-11-12,WoRMS data will be used for quality control of Catalogue of Life Taiwan,"Taiwan Biodiversity Information Facility (TaiBIF), Biodiversity Research Centre,  Academia Sinica",Taiwan (Province of China),,
Received access to download a monthly copy of WoRMS,2018-08-31,WoRMS data will be used for quality control of species names in the Western Pacific Regional Fishery Management Council (WPRFMC) Ecosystem Component (EC) Amendment.,Western Pacific Regional Fishery Management Council,United States,,
Received access to download a monthly copy of WoRMS,2019-08-19,WoRMS data will be used for quality control of taxon names in a research project at CNRS IMBE (France).,CNRS IMBE: Mediterranean institute of Biodiversity and Ecology (marine and continental),France,,
Received access to download a monthly copy of WoRMS,2019-02-25,WoRMS data will be used for quality control of taxon names in the the collections of the members of the Cercle Geologique du Hainaut.,Cercle Geologique du Hainaut,France,,
Received access to download a monthly copy of WoRMS,2018-09-18,WoRMS data will be used for quality control of the internal database of DG SANTE (European Commission).,European Commission - DG SANTE,Belgium,,
Received access to download a monthly copy of WoRMS,2021-06-28,WoRMS data will be used for research on distribution patterns,University of British Columbia,Canada,,
Received access to download a monthly copy of WoRMS,2020-10-20,WoRMS data will be used for statistical analyses comparing shallow and deep water species within a project at the College of Marine Life Science Ocean University of China,College of Marine Life Science Ocean University of China,China,,
Received access to download a monthly copy of WoRMS,2019-04-11,WoRMS data will be used for testing research hypotheses in the field of marine taxonomy.,Hellenic Centre for Marine Research,Greece,,
Received access to download a monthly copy of WoRMS,2018-09-26,WoRMS data will be used for text mining of cruise logs.,NOAA-NCEI,United States,,
Received access to download a monthly copy of WoRMS,2021-02-04,"WoRMS data will be used for text mining of species occurrences in a project at the Harold A. Miller Marine Biology Library, Hopkins Marine Station of Stanford University",Hopkins Marine Station,USA,,
Received access to download a monthly copy of WoRMS,2018-08-06,WoRMS data will be used for to identify marine taxa in a survey on the current status of marine genome research.,Beijing Genomics Institute (BGI),China,,
Received access to download a monthly copy of WoRMS,2018-08-04,WoRMS data will be used for to identify marine taxa in a survey on the current status of marine genome research.,Northwest University,China,,
Received access to download a monthly copy of WoRMS,2021-11-29,WoRMS data will be used for underwater video annotation and offline access by Oceans Network Canada,Ocean Networks Canada,Canada,,
Received access to download a monthly copy of WoRMS,2019-09-06,WoRMS data will be used for verifying marine taxa in a research project at the University of Southampton (UK).,University of Southampton,United Kingdom,,
Received access to download a monthly copy of WoRMS,2018-08-30,WoRMS data will be used in a Master thesis comparing Elasmobranch and algae co-evolution,Universiteit Gent,Belgium,,
Received access to download a monthly copy of WoRMS,2020-03-09,WoRMS data will be used in a research project on anthropogenic marine debris at the Murdoch University,Murdoch University,Australia,,
Received access to download a monthly copy of WoRMS,2019-12-04,"WoRMS data will be used in benthic macrofaunal database of Cefas, UK",CEFAS,United Kingdom,,
Received access to download a monthly copy of WoRMS,2019-06-13,"WoRMS data will be used in biodiversity analyses carried out at the Departamento de Ecología e Hidrología, Universidad de Murcia.",Universidad de Murcia,Spain,,
Received access to download a monthly copy of WoRMS,2020-04-01,WoRMS data will be used in collection management (Collection B. Roswell),Individual,Australia,,
Received access to download a monthly copy of WoRMS,2020-06-09,WoRMS data will be used in research project on history of science at the University of Pretoria,University of Pretoria,South-Africa,,
Received access to download a monthly copy of WoRMS,2020-03-06,WoRMS data will be used in the creation of a biodiversity database by the Bulgarian Executive Environmnet Agency,Executive Environmnet Agency,Bulgaria,,
Received access to download a monthly copy of WoRMS,2021-03-30,WoRMS data will be used in the Map of Life Project at Yale University,Yale University,United States,,
Received access to download a monthly copy of WoRMS,2020-02-03,WoRMS data will be used to assign AphiaIDs to internal databases of the Scottish Environment Protection Agency,Scottish Environment Protection Agency,United Kingdom,,
Received access to download a monthly copy of WoRMS,2020-11-02,WoRMS data will be used to assign AphiaIDs to the databases of the Australian Antarctic Data Centre for export to OBIS,Australian Antarctic Data Centre,Australia,,
Received access to download a monthly copy of WoRMS,2020-10-23,WoRMS data will be used to assign AphiaIDs to the databases of the Research Institute Senckenberg for export to OBIS,Senckenberg Nature Research Society,Germany,,
Received access to download a monthly copy of WoRMS,2018-04-09,WoRMS data will be used to complete taxonomic metadata in a study involving numerous DNA barcode sequences,Victoria University of Wellington,New Zealand,,
Received access to download a monthly copy of WoRMS,2020-01-15,WoRMS data will be used to create EDGE lists of Actinopterygii Life within the frame of a rearch project at the Zoological Society of London and the University College London,Zoological Society of London,United Kingdom,,
Received access to download a monthly copy of WoRMS,2020-01-13,WoRMS data will be used to cross check Actinopterygii species IUCN Red Lists and Tree of Life within the frame of a MSc project at the Imperial College London,Imperial College London,United Kingdom,,
Received access to download a monthly copy of WoRMS,2018-05-28,WoRMS data will be used to differentiate deep-sea proteins from other protein origins in a data mining application,University Hamburg; Zentrum für Bioinformatik,Germany,,
Received access to download a monthly copy of WoRMS,2021-05-02,"WoRMS data will be used to identify extant taxa in PBDB data in a study on the marine fossil record at the University of California, Berkeley","University of California,  Berkeley",United States,,
Received access to download a monthly copy of WoRMS,2021-04-27,WoRMS data will be used to identify marine and freshwater species in a project at the University of Guelph,University of Guelph,Canada,,
Received access to download a monthly copy of WoRMS,2019-11-22,WoRMS data will be used to identify marine species in the collection database for the seed bank and of the living collection of the Missouri Botanical Garden,Missouri Botanical Garden,United States,,
Received access to download a monthly copy of WoRMS,2018-11-19,WoRMS data will be used to identify marine species mentioned in patent databases., BASF SE,Germany,,
Received access to download a monthly copy of WoRMS,2018-09-06,WoRMS data will be used to provide data entry suggestions for databases used by the US Integrated Ocean Observing System (IOOS) members. ,Axiom Data Science,United States,,
Received access to download a monthly copy of WoRMS,2019-09-05,"WoRMS data will be used to resolve AphiaIDs in legacy databases at Cefas, UK",cefas,United Kingdom,,
Received access to download a monthly copy of WoRMS,2020-03-04,WoRMS data will be used to snych higher taxonomy in the Thematic Collection Network (TCN) Symbiota portals (InvertEBase STRI-Panama) of the Field Museum of Natural History with the classification presented in WoRMS,Field Museum of Natural History,United States,,
Received access to download a monthly copy of WoRMS,2018-05-28,WoRMS data will be used to update taxon names in an internal database,Marine Institute Ireland,Ireland,,
Received access to download a monthly copy of WoRMS,2020-05-08,WoRMS data will be used to update taxonomy and for identifying marine species in a study on invasive marine species carried out at the Senckenberg Research Institute and Natural History Museum,Senckenberg Research Institute and Natural History Museum,Germany,,
Received access to download a monthly copy of WoRMS,2021-09-24,WoRMS data will be used to update the French taxonomic register TAXREF,"Muséum national d'Histoire naturelle (MNHN), Paris",France,,
Received access to download a monthly copy of WoRMS,2019-10-28,WoRMS data will be used to validate marine species taxonomic backbone in the Barcode of Life Database (BOLD),Barcode of Life Datasystem (BOLD) - Centre for Biodiversity Genomics (CBG) ,Canada,,
Received access to download a monthly copy of WoRMS,2019-08-26,WoRMS data will be used within the frame of a feasibility study carried out by Draper Laboratory for a large-scale sequencing project of marine species.,Draper,United States,,
Received access to download a monthly copy of WoRMS,2021-11-21,WoRMS data will serve as taxonomic backbone for aquatic/marine database at the European Bioinformatics Institute,European Bioinformatics Institute,UK,,
Received access to download a monthly copy of WoRMS,2021-11-08,WoRMS data will serve as taxonomic backbone for an imagery analysis project at Eco Marine Consultants,Eco Marine Consultants,United Kingdom,,
Received access to download a monthly copy of WoRMS,2019-09-02,WoRMS data will serve as taxonomic backbone for biodiversity databases of the Station Biologique de Roscoff (Sorbonne Université),Station Biologique de Roscoff - CNRS - Sorbonne Université,France,,
Received access to download a monthly copy of WoRMS,2018-09-28,WoRMS data will serve as taxonomic backbone for reporst by the shipboard parties of the R/V Falkor," R/V Atlantis, and R/V Mirai Cruises.Scripps Institution of Oceanography",USA,,
Received access to download a monthly copy of WoRMS,2019-02-07,"WoRMS data will serve as taxonomic backbone for the collection database of the Canadian National Collection of Insects, Arachnids & Nematodes","Canadian National Collection of Insects,  Arachnids & Nematodes",Canada,,
Received access to download a monthly copy of WoRMS,2019-08-28,WoRMS data will serve as taxonomic backbone for the collection database of the Haus der Natur (Salzburg Austria).,Haus der Natur Salzburg,Austria,,
Received access to download a monthly copy of WoRMS,2018-10-10,WoRMS data will serve as taxonomic backbone for the collection of marine and freshwater algae of the Natural History Museum Rotterdam (NMR),Natural History Museum Rotterdam,Netherlands,,
Received access to download a monthly copy of WoRMS,2019-01-16,"WoRMS data will serve as taxonomic backbone for the internal thesaurus of Pangea Working Group, University of Bremen. ",Centre for Marine Environmental Sciences,Germany,,
Received access to download a monthly copy of WoRMS,2018-10-04,WoRMS data will serve as taxonomic backbone for the Polychaet and Crustacean database of the Center for Natural History at the University Hamburg.,University Hamburg; Center for Natural History,Germany,,
Received access to download a monthly copy of WoRMS,2020-07-21,WoRMS dataset to be used in museum catalogue,American Museum of Natural History,USA,,
Received access to download a monthly copy of WoRMS,2020-07-20,WoRMS echinoid data will be used in a project on biodiversity patterns at the Universidade Federal Fluminense,Universidade Federal Fluminense,Brazil,,
Received access to download a monthly copy of WoRMS,2019-06-19,"WoRMS nematod data will be used for a data-mining application by the Selkirk College, Castlegar BC, Canada",Selkirk College,Canada,,
Received access to download a monthly copy of WoRMS,2020-02-10,WoRMS traits data will be used in a research project at the Dalhousie University,Dalhousie Univeristy,Canada,,
Received access to download a monthly copy of WoRMS,2019-07-26,WoRMS will be used for updating TAIBIF http://www.taibif.tw/en,"Biodiversity Research Center, Academia Sinica",Taiwan (Province of China),,
Received access to download a monthly copy of WoRMS,2008-07-07,ZipcodeZoo.com,N/A,USA,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Add-my-Pet portal ,  Vrije Universiteit van Amsterdam",Netherlands,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Archaeology and Natural History,  The Australian National University",Australia,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Base pour l'Inventaire des Observations Subaquatiques (BioObs), ",France,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Biodata Mining Group,  Bielefeld University",Germany,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Biodiversity Virtual e-Laboratory (BioVeL) Project,  Cardiff University",UK,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Biological Information System for Marine Life (BISMaL), ",Japan,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"BlueBRIDGE,  Italian National Research Council",Italy,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"British Oceanographic Data Centre (BODC), ",UK,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Check the current taxonomic classification benthic surveys samples,  Centre for Environment, Fisheries and Aquaculture Science",UK,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Circolo Attività Subacquee Chieri,  Sezione Didattica",Italy,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Citizen Science non profit group opistobranquis.info ,  VIMAR - Vida Marina ",Spain,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Coral Reef Ecosystem Division (CRED),  NOAA",USA,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"CRITTERBASE project,  Alfred Wegener Institute for Polar- and Marine Research",Germany,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"DAERA.Marine taxon application (new version of UNICORN) ,  The Department of Agriculture, Environment and Rural Affairs",UK,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Data Publisher for Earth & Environmental Science (PANGAEA) ,  Centre for Marine Environmental Sciences",Germany,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Department of Marine Sciences,  University of the Aegean",Greece,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Données d'Observations pour la Reconnaissance et l'Identification de la faune et de la flore Subaquatique (DORIS), ",France,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Ecopath with Ecosim (EwE),  University of British Columbia",Canada,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Ecospan Environmental Limited, ",UK,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"EMODNet Portal for Biology, ",EU,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Encyclopedia of Life,  Smithsonian Institution",USA,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Environmental Information Management (EIM) database,  Washington State Department of Ecology",USA,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"ETI BioInformatics, ",Netherlands,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"European Environment Agency,  EUNIS",Denmark,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Fisheries Linked Open Data at the Fisheries and Aquaculture Department of FAO, ",Italy,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Foraminifera.eu Project, ",Germany,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Gaiaguide, ",Australia,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Gardline Marine Sciences group, ",UK,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"GenBank,  National Center for Biotechnology Information (NCBI)",USA,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Global Biotic Interactions (GloBI), ",Oakland,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Global Genome Initiative,  Smithsonian Institution",US,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Hafok, ",Sweden,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Harbor Branch Oceanographic Institute,  Florida Atlantic University",USA,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"HELCOM,  Helsinki",Finland,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Ifremer,  Laboratoire des sciences de l’Environnement MARin (LEMAR)",France,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"iMarine Project, ",Europe,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"iNaturalist ,  California Academy of Sciences",USA,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Information about non domestic animals keeping ,  Base de Données des Espèces Non Domestiques (BDEND)",France,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Information system on Aquatic Non-Indigenous and Cryptogenic Species (AquaNIS), ",Lithuania,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Institut de Recherche pour le Développement (IRD),  Centre de Recherche Halieutique Méditerranéenne et Tropicale",France,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Institut National de Recherche Halieutique (INRH), ",Morocco,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"International Institute for Species Exploration, ",USA,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"keep abreast with changes in the taxonomy,  Institute for Marine Resources and Ecosystem Studies",Netherlands,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Keep the nomenclature up-to-date,  Natural History Collections of Tyrolean State Museum Ferdinandeum",Austria,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"L’Agence des aires marines protégées, ",France,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"MariLim Gesellschaft für Gewässeruntersuchung mbH, ",Germany,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Marine Life Information Network (MarLIN), ",UK,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Marine Research Lab,  Zoological Institute RAS",Russia,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Marine Resource Modelling Group,  University of Strathclyde Dept. Mathematics and Statistics",UK,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Maurice Lamontagne Institute,  Fisheries and Oceans",Canada,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Mikrotax.org - pforams,  University College London",UK,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"MIT Sea Grant College Program, ",USA,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"National Academy of Sciences of Ukraine,  Institute of Biology of the Southern Seas (IBSS)",Ukraine,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"National benthic database,  University of Bordeaux",France,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Nationalpark-Verwaltung Niedersächsisches Wattenmeer,  Wilhelmshaven",Germany,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Natura Esperire/Experience Annalisa Tassini, ",Italy,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Natural History Museum of Los Angeles County, ",USA,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Natural History Museum Rotterdam,  Marine Invertebrates",Netherlands,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Observation.org, ",Netherlands,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Opale Surfcasting, ",France,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Open Tree of Life, ",USA,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"PAPARA(ZZ)I Annotation tool,  Alfred Wegener Institute",Germany,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Pelagos & Assemble databases,  Station Biologique de Roscoff",France,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"PhD on taxonomy of cyclopoida,  University of Baghdad",Iraq,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Referred to webservices - WoRMS data (through the Lifewatch Species Information Backbon) will be used for updating taxon names in the internal databases of the Cawthron Institute,  Cawthron Institute",New Zealand,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Resolve common names for Central & Northern California Ocean Observing System (CeNCOOS) ,  Research Institute",USA,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Russell Renka - Shell List,  Southeast Missouri State University",USA,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"San Diego Supercomputer Center, ",USA,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"School of Computer Science,  University of Manchester",UK,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Scratchpads,  Natural History Museum (NHM)",UK,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"SeaDataNet,  IMARES Wageningen UR",Netherlands,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Specimen seashells,  Conchology Inc.",Philippines,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Sponge Barcoding Project, ",Germany,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"strandvondsten.nl,  Utrecht",The Netherlands,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Taxonome,  University of Sheffield",UK,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Taxonomical reference for encoders using the RBINS-collection database ,  Operationele Directie Natuurlijk Milieu",Belgium,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"The Crab Database (crabdatabase.info), ",Czech Republic,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"The United States Antarctic Program at the National Museum of Natural History, ",USA,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Unified Taxonomic Information Service (UTIS) ,  Botanic Garden and Botanical Museum Berlin-Dahlem",Germany,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Update taxonomy ,  Diving Canary Islands",Spain,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Validate taxonomy of their marine species,  Government Department of Conservation Services",Bermuda,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"Wikipedia FR, ",France,,
Are using our web services and/or provide deeplinks to WoRMS,NA,NA,"WikiProject on Gastropods. ,  Wikipedia",United States,,
,,NA,"WoRMS data will be used as taxonomic backbone for a collection of underwater photos - uses webservices,  Personal application",France,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
